date,DGS1,DGS10,DGS1MO,DGS2,DGS30,DGS3MO,DGS5
1962-01-02,3.22,4.06,,,,,3.88
1962-01-03,3.24,4.03,,,,,3.87
1962-01-04,3.24,3.99,,,,,3.86
1962-01-05,3.26,4.02,,,,,3.89
1962-01-08,3.31,4.03,,,,,3.91
1962-01-09,3.32,4.05,,,,,3.93
1962-01-10,3.33,4.07,,,,,3.94
1962-01-11,3.33,4.08,,,,,3.94
1962-01-12,3.3,4.08,,,,,3.95
1962-01-15,3.32,4.1,,,,,3.96
1962-01-16,3.3,4.13,,,,,3.98
1962-01-17,3.3,4.12,,,,,3.97
1962-01-18,3.27,4.11,,,,,3.96
1962-01-19,3.27,4.11,,,,,3.95
1962-01-22,3.25,4.09,,,,,3.93
1962-01-23,3.25,4.11,,,,,3.94
1962-01-24,3.24,4.1,,,,,3.93
1962-01-25,3.27,4.11,,,,,3.94
1962-01-26,3.28,4.11,,,,,3.97
1962-01-29,3.28,4.12,,,,,3.98
1962-01-30,3.28,4.11,,,,,3.98
1962-01-31,3.29,4.1,,,,,3.99
1962-02-01,3.3,4.09,,,,,4.0
1962-02-02,3.3,4.08,,,,,3.97
1962-02-05,3.29,4.07,,,,,3.96
1962-02-06,3.29,4.06,,,,,3.96
1962-02-07,3.29,4.07,,,,,3.95
1962-02-08,3.3,4.07,,,,,3.93
1962-02-09,3.28,4.05,,,,,3.91
1962-02-12,,,,,,,
1962-02-13,3.28,4.03,,,,,3.91
1962-02-14,3.31,4.03,,,,,3.9
1962-02-15,3.33,4.02,,,,,3.9
1962-02-16,3.33,4.02,,,,,3.88
1962-02-19,3.32,4.01,,,,,3.86
1962-02-20,3.31,4.05,,,,,3.88
1962-02-21,3.28,4.03,,,,,3.86
1962-02-22,,,,,,,
1962-02-23,3.24,4.02,,,,,3.83
1962-02-26,3.22,4.0,,,,,3.8
1962-02-27,3.23,4.01,,,,,3.8
1962-02-28,3.21,4.0,,,,,3.77
1962-03-01,3.15,3.98,,,,,3.71
1962-03-02,3.17,3.98,,,,,3.72
1962-03-05,3.18,4.0,,,,,3.74
1962-03-06,3.18,4.01,,,,,3.74
1962-03-07,3.14,4.0,,,,,3.74
1962-03-08,3.11,3.98,,,,,3.72
1962-03-09,3.12,3.96,,,,,3.71
1962-03-12,3.13,3.94,,,,,3.73
1962-03-13,3.11,3.92,,,,,3.7
1962-03-14,3.1,3.93,,,,,3.72
1962-03-15,3.1,3.96,,,,,3.73
1962-03-16,3.06,3.96,,,,,3.72
1962-03-19,3.03,3.93,,,,,3.71
1962-03-20,3.02,3.91,,,,,3.67
1962-03-21,3.01,3.86,,,,,3.61
1962-03-22,2.94,3.83,,,,,3.58
1962-03-23,2.94,3.87,,,,,3.62
1962-03-26,2.95,3.89,,,,,3.65
1962-03-27,2.95,3.9,,,,,3.65
1962-03-28,2.96,3.9,,,,,3.64
1962-03-29,2.96,3.9,,,,,3.64
1962-03-30,2.97,3.86,,,,,3.61
1962-04-02,2.95,3.86,,,,,3.58
1962-04-03,2.93,3.83,,,,,3.55
1962-04-04,2.88,3.78,,,,,3.51
1962-04-05,2.89,3.84,,,,,3.56
1962-04-06,2.89,3.81,,,,,3.55
1962-04-09,2.9,3.83,,,,,3.57
1962-04-10,2.94,3.83,,,,,3.57
1962-04-11,3.0,3.87,,,,,3.61
1962-04-12,3.0,3.86,,,,,3.61
1962-04-13,3.0,3.85,,,,,3.6
1962-04-16,3.0,3.83,,,,,3.6
1962-04-17,3.0,3.82,,,,,3.6
1962-04-18,3.0,3.81,,,,,3.6
1962-04-19,3.0,3.82,,,,,3.6
1962-04-20,,,,,,,
1962-04-23,3.03,3.86,,,,,3.63
1962-04-24,3.08,3.87,,,,,3.65
1962-04-25,3.08,3.88,,,,,3.66
1962-04-26,3.04,3.89,,,,,3.66
1962-04-27,3.07,3.86,,,,,3.64
1962-04-30,3.07,3.86,,,,,3.64
1962-05-01,3.06,3.85,,,,,3.63
1962-05-02,3.06,3.86,,,,,3.64
1962-05-03,3.05,3.86,,,,,3.64
1962-05-04,3.05,3.87,,,,,3.64
1962-05-07,3.04,3.86,,,,,3.64
1962-05-08,3.01,3.85,,,,,3.62
1962-05-09,3.01,3.82,,,,,3.6
1962-05-10,2.99,3.83,,,,,3.61
1962-05-11,3.0,3.82,,,,,3.61
1962-05-14,3.0,3.85,,,,,3.63
1962-05-15,3.04,3.87,,,,,3.67
1962-05-16,3.04,3.86,,,,,3.67
1962-05-17,3.06,3.87,,,,,3.67
1962-05-18,3.05,3.93,,,,,3.72
1962-05-21,3.05,3.94,,,,,3.74
1962-05-22,3.05,3.93,,,,,3.71
1962-05-23,3.04,3.91,,,,,3.69
1962-05-24,3.02,3.9,,,,,3.68
1962-05-25,3.01,3.88,,,,,3.66
1962-05-28,2.98,3.87,,,,,3.65
1962-05-29,2.97,3.89,,,,,3.66
1962-05-30,,,,,,,
1962-05-31,2.99,3.9,,,,,3.66
1962-06-01,2.98,3.89,,,,,3.64
1962-06-04,2.98,3.88,,,,,3.63
1962-06-05,2.97,3.89,,,,,3.64
1962-06-06,2.95,3.89,,,,,3.62
1962-06-07,2.95,3.87,,,,,3.6
1962-06-08,2.94,3.86,,,,,3.6
1962-06-11,2.95,3.87,,,,,3.59
1962-06-12,2.94,3.86,,,,,3.57
1962-06-13,2.94,3.87,,,,,3.57
1962-06-14,3.0,3.9,,,,,3.6
1962-06-15,3.0,3.89,,,,,3.6
1962-06-18,3.03,3.91,,,,,3.61
1962-06-19,3.06,3.93,,,,,3.64
1962-06-20,3.04,3.92,,,,,3.63
1962-06-21,3.04,3.9,,,,,3.61
1962-06-22,3.04,3.9,,,,,3.61
1962-06-25,3.12,3.95,,,,,3.68
1962-06-26,3.14,3.97,,,,,3.71
1962-06-27,3.14,3.96,,,,,3.68
1962-06-28,3.18,3.98,,,,,3.76
1962-06-29,3.2,4.0,,,,,3.76
1962-07-02,3.21,4.0,,,,,3.77
1962-07-03,3.23,4.0,,,,,3.76
1962-07-04,,,,,,,
1962-07-05,3.21,4.0,,,,,3.78
1962-07-06,3.23,4.02,,,,,3.79
1962-07-09,3.26,4.05,,,,,3.83
1962-07-10,3.27,4.02,,,,,3.81
1962-07-11,3.26,3.99,,,,,3.77
1962-07-12,3.27,4.0,,,,,3.78
1962-07-13,3.27,4.0,,,,,3.78
1962-07-16,3.28,4.01,,,,,3.8
1962-07-17,3.34,4.03,,,,,3.82
1962-07-18,3.36,4.02,,,,,3.83
1962-07-19,3.33,4.02,,,,,3.83
1962-07-20,3.32,4.01,,,,,3.82
1962-07-23,3.32,4.0,,,,,3.81
1962-07-24,3.32,4.01,,,,,3.82
1962-07-25,3.32,4.02,,,,,3.83
1962-07-26,3.32,4.01,,,,,3.82
1962-07-27,3.32,4.02,,,,,3.79
1962-07-30,3.33,4.03,,,,,3.81
1962-07-31,3.33,4.04,,,,,3.82
1962-08-01,3.3,4.03,,,,,3.8
1962-08-02,3.26,4.0,,,,,3.76
1962-08-03,3.27,4.01,,,,,3.77
1962-08-06,3.26,4.01,,,,,3.76
1962-08-07,3.28,4.02,,,,,3.79
1962-08-08,3.28,4.01,,,,,3.78
1962-08-09,3.28,3.99,,,,,3.76
1962-08-10,3.28,3.99,,,,,3.76
1962-08-13,3.26,3.99,,,,,3.74
1962-08-14,3.24,3.98,,,,,3.73
1962-08-15,3.2,3.98,,,,,3.72
1962-08-16,3.19,3.96,,,,,3.69
1962-08-17,3.18,3.96,,,,,3.69
1962-08-20,3.17,3.94,,,,,3.66
1962-08-21,3.17,3.94,,,,,3.66
1962-08-22,3.14,3.95,,,,,3.66
1962-08-23,3.13,3.95,,,,,3.66
1962-08-24,3.12,3.95,,,,,3.66
1962-08-27,3.11,3.95,,,,,3.67
1962-08-28,3.1,3.96,,,,,3.67
1962-08-29,3.1,3.96,,,,,3.67
1962-08-30,3.12,3.95,,,,,3.66
1962-08-31,3.14,3.96,,,,,3.66
1962-09-03,,,,,,,
1962-09-04,3.15,3.96,,,,,3.67
1962-09-05,3.16,3.97,,,,,3.68
1962-09-06,3.09,3.99,,,,,3.72
1962-09-07,3.1,4.01,,,,,3.74
